tweet_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_timestamp
888202515573088257,8.874739571039519e+17,4196983835.0,2017-07-19 00:47:34+00:00
886054160059072513,8.860537344211026e+17,19607400.0,2017-07-15 02:44:07+00:00
885311592912609280,8.305833205850685e+17,4196983835.0,2017-02-12 01:04:29+00:00
879130579576475649,8.780576130401157e+17,4196983835.0,2017-06-23 01:10:23+00:00
878404777348136964,8.782815110064783e+17,4196983835.0,2017-06-23 16:00:04+00:00
878316110768087041,6.690003974455337e+17,4196983835.0,2015-11-24 03:51:38+00:00
877611172832227328,8.76850772322988e+17,512804507.0,2017-06-19 17:14:49+00:00
874434818259525634,8.663349647612027e+17,4196983835.0,2017-05-21 16:48:45+00:00
873697596434513921,8.688803978194944e+17,4196983835.0,2017-05-28 17:23:24+00:00
873337748698140672,8.732137756329779e+17,4196983835.0,2017-06-09 16:22:42+00:00
872668790621863937,8.726575842595512e+17,154767397.0,2017-06-08 03:32:35+00:00
871166179821445120,8.41077006473257e+17,4196983835.0,2017-03-13 00:02:39+00:00
869988702071779329,8.591969789027738e+17,4196983835.0,2017-05-02 00:04:57+00:00
868639477480148993,8.685522785248379e+17,4196983835.0,2017-05-27 19:39:34+00:00
867072653475098625,8.650134204453683e+17,7.874617784352891e+17,2017-05-18 01:17:25+00:00
866816280283807744,8.664507055314575e+17,4196983835.0,2017-05-22 00:28:40+00:00
866094527597207552,8.378201676945285e+17,4196983835.0,2017-03-04 00:21:08+00:00
863471782782697472,8.630624715311677e+17,4196983835.0,2017-05-12 16:05:02+00:00
861769973181624320,8.06629075125203e+17,4196983835.0,2016-12-07 22:38:52+00:00
860981674716409858,8.605637731402097e+17,4196983835.0,2017-05-05 18:36:06+00:00
860924035999428608,8.609144852504699e+17,363890752.0,2017-05-06 17:49:42+00:00
860177593139703809,7.616729943768064e+17,4196983835.0,2016-08-05 21:19:27+00:00
858860390427611136,8.395493263596708e+17,4196983835.0,2017-03-08 18:52:12+00:00
857062103051644929,8.57061112319234e+17,58709723.0,2017-04-26 02:37:47+00:00
856602993587888130,8.44704788403114e+17,4196983835.0,2017-03-23 00:18:10+00:00
856330835276025856,8.563301587682181e+17,66699013.0,2017-04-24 02:13:14+00:00
855245323840757760,8.421635325903749e+17,4196983835.0,2017-03-16 00:00:07+00:00
855138241867124737,8.551225332674601e+17,7.475543444348314e+17,2017-04-20 18:14:33+00:00
